Coordenada,,Brazo derecho,,,,,,,,Brazo izquierdo,,,,,,,
X,Y,Alcanza,J1,J2,J3,J4,J5,J6,J7,Alcanza,J1,J2,J3,J4,J5,J6,J7
200,-450,Si,29.7469,-57.6894,-132.166,14.067,84.9502,80.4784,6.6713,No,0,0,0,0,0,0,0
200,-350,Si,28.1834,-56.2568,-132.662,35.2992,87.8002,80.5603,-12.9401,Si,-158.378,-142.5,102.087,-17.3332,-105.062,105.593,96.9791
200,-250,Si,34.4878,-60.3638,-138.195,50.6162,90.2917,82.4934,-35.2225,Si,-128.051,-142.5,121.451,8.13568,-95.6043,102.876,106.293
200,-150,Si,48.9608,-73.7013,-147.002,58.2171,91.7292,86.9105,-61.5009,Si,-103.529,-133.908,137.76,27.8627,-92.1676,99.7888,108.342
200,-50,Si,66.8131,-95.8765,-151.541,55.6194,91.7032,92.761,-86.7824,Si,-84.5245,-117.616,148.009,44.3382,-91.5266,97.2618,102.657
200,50,Si,84.5245,-117.616,-148.009,44.3382,91.5265,97.2618,-102.658,Si,-66.8132,-95.8765,151.541,55.6194,-91.7032,92.7611,86.7825
200,150,Si,103.529,-133.908,-137.76,27.8627,92.1676,99.7887,-108.342,Si,-48.9608,-73.7013,147.002,58.2172,-91.7293,86.9105,61.501
200,250,Si,128.051,-142.5,-121.451,8.13569,95.6043,102.875,-106.293,Si,-34.4878,-60.3638,138.195,50.6163,-90.2918,82.4934,35.2225
200,350,Si,158.378,-142.5,-102.087,-17.3332,105.062,105.593,-96.9792,Si,-28.1834,-56.2568,132.662,35.2992,-87.8002,80.5603,12.9401
200,450,No,0,0,0,0,0,0,0,Si,-29.7469,-57.6894,132.166,14.0671,-84.9502,80.4783,-6.6713
300,-450,Si,25.1529,-66.2011,-104.26,15.7291,81.8636,53.1618,7.81735,No,0,0,0,0,0,0,0
300,-350,Si,23.2969,-65.6557,-104.757,37.4934,96.3285,54.0364,-17.1034,Si,-159.494,-123.323,105.298,-12.2953,-123.848,105.2,98.5803
300,-250,Si,30.0391,-66.7546,-109.731,53.7413,109.058,61.1978,-42.539,Si,-137.689,-117.827,116.854,15.3563,-120.009,109.801,105.712
300,-150,Si,48.0701,-71.8447,-119.68,62.9787,116.675,75.4385,-67.2892,Si,-118.345,-109.65,125.058,36.0643,-117.381,109.892,107.303
300,-50,Si,73.8368,-83.8607,-128.812,62.2986,117.794,92.855,-88.6269,Si,-97.9197,-98.2282,129.962,52.1796,-116.714,104.944,102.286
300,50,Si,97.9196,-98.2282,-129.962,52.1796,116.714,104.944,-102.286,Si,-73.8368,-83.8607,128.812,62.2986,-117.794,92.855,88.6269
300,150,Si,118.345,-109.65,-125.058,36.0643,117.381,109.892,-107.303,Si,-48.0702,-71.8447,119.68,62.9787,-116.676,75.4385,67.2892
300,250,Si,137.689,-117.827,-116.854,15.3563,120.009,109.801,-105.712,Si,-30.0391,-66.7546,109.731,53.7413,-109.058,61.1978,42.539
300,350,Si,159.494,-123.323,-105.298,-12.2953,123.848,105.2,-98.5803,Si,-23.2969,-65.6557,104.757,37.4934,-96.3286,54.0364,17.1034
300,450,No,0,0,0,0,0,0,0,Si,-25.1529,-66.2011,104.26,15.7292,-81.8637,53.1618,-7.81732
400,-450,Si,33.9939,-73.5486,-84.5594,10.0104,79.7088,29.3558,8.6498,No,0,0,0,0,0,0,0
400,-350,Si,32.7586,-73.6043,-85.267,31.9418,114.075,33.0538,-31.4672,Si,-164.554,-100.882,112.423,-16.6527,-149.871,102.088,91.4219
400,-250,Si,38.8068,-72.7183,-88.6725,47.9887,134.252,47.0288,-58.2434,Si,-144.068,-93.0506,115.042,13.5695,-147.569,109.402,95.8765
400,-150,Si,54.286,-71.6199,-95.5064,57.29,142.829,66.8527,-74.8411,Si,-124.87,-85.6266,114.983,34.7142,-145.925,109.681,96.6344
400,-50,Si,78.1569,-73.0394,-104.658,57.9945,145.269,87.6605,-86.2026,Si,-103.257,-78.4283,111.838,49.852,-145.406,102.826,93.5299
400,50,Si,103.257,-78.4283,-111.838,49.852,145.406,102.826,-93.5299,Si,-78.1569,-73.0394,104.658,57.9945,-145.269,87.6605,86.2026
400,150,Si,124.87,-85.6266,-114.983,34.7142,145.925,109.681,-96.6344,Si,-54.2861,-71.6199,95.5063,57.29,-142.83,66.8527,74.8411
400,250,Si,144.068,-93.0506,-115.042,13.5695,147.569,109.402,-95.8765,Si,-38.8068,-72.7183,88.6725,47.9888,-134.252,47.0288,58.2435
400,350,Si,164.554,-100.882,-112.423,-16.6527,149.871,102.087,-91.4219,Si,-32.7586,-73.6043,85.267,31.9419,-114.076,33.0538,31.4673
400,450,No,0,0,0,0,0,0,0,Si,-33.9939,-73.5486,84.5594,10.0105,-79.7089,29.3557,-8.64973
500,-450,Si,49.1832,-71.8455,-73.2165,-4.56691,68.7283,14.0564,19.946,No,0,0,0,0,0,0,0
500,-350,Si,47.5046,-72.3233,-73.4174,18.5147,138.678,21.1742,-52.5925,No,0,0,0,0,0,0,0
500,-250,Si,52.3169,-70.6998,-75.8455,34.286,156.408,39.341,-72.9077,Si,-149.803,-76.921,114.635,0.924093,-166.277,96.934,89.0472
500,-150,Si,64.6159,-67.4796,-81.0926,42.8592,161.944,58.9358,-81.0263,Si,-128.999,-69.6527,108.408,22.5898,-165.65,97.339,89.4525
500,-50,Si,83.9065,-64.841,-89.5389,43.704,164.134,77.1236,-85.6093,Si,-106.735,-65.3751,99.591,36.7398,-165.068,90.5891,88.3143
500,50,Si,106.735,-65.3751,-99.591,36.7398,165.068,90.5891,-88.3144,Si,-83.9065,-64.841,89.5389,43.704,-164.134,77.1236,85.6093
500,150,Si,128.999,-69.6527,-108.408,22.5898,165.65,97.339,-89.4525,Si,-64.616,-67.4796,81.0926,42.8592,-161.944,58.9359,81.0263
500,250,Si,149.803,-76.921,-114.636,0.924123,166.277,96.9339,-89.0472,Si,-52.3169,-70.6998,75.8455,34.286,-156.408,39.3411,72.9078
500,350,No,0,0,0,0,0,0,0,Si,-47.5046,-72.3233,73.4174,18.5147,-138.678,21.1742,52.5927
500,450,No,0,0,0,0,0,0,0,Si,-49.1833,-71.8454,73.2165,-4.56691,-68.7285,14.0563,-19.9459
600,-450,Si,69.0924,-63.235,-70.9559,-32.0363,13.8383,12.6986,75.3506,No,0,0,0,0,0,0,0
600,-350,Si,64.848,-64.6593,-69.5044,-4.40835,162.915,11.725,-74.3103,No,0,0,0,0,0,0,0
600,-250,Si,67.6672,-63.5704,-71.1854,12.7343,172.675,31.3452,-84.4976,Si,-159.849,-69.9502,117.864,-24.5951,-176.716,77.0294,87.9105
600,-150,Si,77.5661,-60.5772,-76.185,21.1703,174.738,48.959,-86.7873,Si,-136.744,-61.1178,107.873,0.877491,-176.591,79.7275,88.3184
600,-50,Si,93.7499,-57.6974,-84.7603,21.9715,175.704,63.9054,-87.7972,Si,-114.424,-57.3464,96.1286,15.3109,-176.266,74.6508,88.2569
600,50,Si,114.424,-57.3464,-96.1286,15.3109,176.266,74.6507,-88.2569,Si,-93.7499,-57.6974,84.7603,21.9715,-175.704,63.9054,87.7972
600,150,Si,136.744,-61.1178,-107.873,0.87752,176.591,79.7274,-88.3184,Si,-77.5661,-60.5771,76.185,21.1703,-174.738,48.9591,86.7873
600,250,Si,159.849,-69.9502,-117.864,-24.5951,176.716,77.0293,-87.9105,Si,-67.6672,-63.5704,71.1854,12.7343,-172.676,31.3453,84.4977
600,350,No,0,0,0,0,0,0,0,Si,-64.848,-64.6593,69.5044,-4.40835,-162.915,11.725,74.3106
600,450,No,0,0,0,0,0,0,0,Si,-69.0925,-63.235,70.9559,-32.0363,-13.8382,12.6985,-75.3508
